ear_mean,ear_min,yaw_mean,yaw_std,pitch_mean,pitch_std,frown_mean,nose_delta_sum,gaze_variance_mean,shoulder_angle_mean,mar_mean,roll_angle_mean,label,label_name
0.3951,0.3719,0.5212,0.0053,0.6827,0.0073,0.4149,0.0469,0.0001,99.9465,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3813,0.3180,0.5227,0.0111,0.6818,0.0219,0.4231,0.2501,0.0001,99.3135,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4140,0.3834,0.5523,0.0150,0.6987,0.0195,0.4273,0.2768,0.0006,97.1051,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4541,0.3877,0.3987,0.0760,0.6654,0.0084,0.4245,0.1974,0.0014,100.4566,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4243,0.3877,0.4312,0.0537,0.6584,0.0082,0.4243,0.1314,0.0010,101.9536,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3358,0.2766,0.5705,0.0183,0.6189,0.0137,0.4167,0.1753,0.0012,100.6935,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3659,0.3031,0.5838,0.0205,0.5974,0.0060,0.4135,0.0508,0.0017,103.6985,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3765,0.1990,0.8253,0.1212,0.5722,0.0103,0.3978,0.2475,0.0019,90.9535,0.0500,0.00,1,DISTRACCIÓN
0.4047,0.3816,0.8540,0.0303,0.5178,0.0224,0.3895,0.1143,0.0005,90.6818,0.0500,0.00,1,DISTRACCIÓN
0.4566,0.3182,0.5281,0.4886,0.5469,0.0402,0.3821,0.5137,0.0018,89.7296,0.0500,0.00,1,DISTRACCIÓN
0.6852,0.4360,0.1301,0.2896,0.7147,0.0696,0.3487,0.3457,0.0194,93.7690,0.0500,0.00,1,DISTRACCIÓN
0.4730,0.4097,0.4245,0.0519,0.8060,0.0537,0.3858,0.2156,0.0035,94.8692,0.0500,0.00,1,DISTRACCIÓN
0.3878,0.1779,0.3616,0.1771,0.5634,0.1059,0.3919,0.5394,0.0063,97.9353,0.0500,0.00,1,DISTRACCIÓN
0.3357,0.2868,0.4675,0.0187,0.6727,0.0497,0.4504,0.2356,0.0059,100.2228,0.0500,0.00,1,DISTRACCIÓN
0.4248,0.3414,0.4095,0.1102,0.6783,0.0317,0.4187,0.5793,0.0099,95.9531,0.0500,0.00,1,DISTRACCIÓN
0.3593,0.3131,0.5054,0.0454,0.8218,0.0454,0.4521,0.1418,0.0141,124.0894,0.0500,0.00,1,DISTRACCIÓN
0.3614,0.3364,0.4942,0.0140,0.8302,0.0144,0.4566,0.0465,0.0011,193.3472,0.0500,0.00,1,DISTRACCIÓN
0.4668,0.4290,0.4280,0.0260,0.7712,0.0246,0.4398,0.0661,0.0002,249.7809,0.0500,0.00,1,DISTRACCIÓN
0.4444,0.4156,0.4258,0.0078,0.7881,0.0073,0.4377,0.0297,0.0001,248.2073,0.0500,0.00,1,DISTRACCIÓN
0.4312,0.4038,0.4360,0.0106,0.7784,0.0187,0.4431,0.0534,0.0001,246.9946,0.0500,0.00,1,DISTRACCIÓN
0.4355,0.3967,0.4475,0.0141,0.7785,0.0121,0.4439,0.0367,0.0001,253.1407,0.0500,0.00,1,DISTRACCIÓN
0.4106,0.3809,0.4622,0.0074,0.7547,0.0161,0.4402,0.0422,0.0000,138.7440,0.0500,0.00,1,DISTRACCIÓN
0.4260,0.4111,0.4739,0.0088,0.7669,0.0155,0.4402,0.0305,0.0000,143.8379,0.0500,0.00,1,DISTRACCIÓN
0.4297,0.4061,0.4735,0.0092,0.7853,0.0074,0.4491,0.0216,0.0000,249.7190,0.0500,0.00,1,DISTRACCIÓN
0.4291,0.3883,0.4651,0.0103,0.7448,0.0165,0.4344,0.0502,0.0001,130.5546,0.0500,0.00,1,DISTRACCIÓN
0.4372,0.4095,0.4634,0.0055,0.7535,0.0096,0.4337,0.0246,0.0000,134.7378,0.0500,0.00,1,DISTRACCIÓN
0.4247,0.4092,0.4747,0.0070,0.7604,0.0063,0.4334,0.0206,0.0000,125.2986,0.0500,0.00,1,DISTRACCIÓN
0.4171,0.3680,0.4820,0.0090,0.7617,0.0087,0.4340,0.0275,0.0000,179.8021,0.0500,0.00,1,DISTRACCIÓN
0.4187,0.4110,0.4830,0.0058,0.7659,0.0075,0.4359,0.0271,0.0000,250.3288,0.0500,0.00,1,DISTRACCIÓN
0.4064,0.3816,0.4884,0.0051,0.7691,0.0099,0.4348,0.0214,0.0000,239.0256,0.0500,0.00,1,DISTRACCIÓN
0.4082,0.3734,0.4863,0.0046,0.7639,0.0057,0.4365,0.0193,0.0000,249.9310,0.0500,0.00,1,DISTRACCIÓN
0.3546,0.1997,0.5899,0.1046,0.7386,0.0822,0.4229,0.3943,0.0008,206.9109,0.0500,0.00,1,DISTRACCIÓN
0.2282,0.1903,0.8780,0.0433,0.6273,0.0242,0.3621,0.0492,0.0102,254.0971,0.0500,0.00,1,DISTRACCIÓN
0.3506,0.2170,0.5460,0.0336,0.5430,0.2287,0.4151,0.5546,0.0029,203.7886,0.0500,0.00,1,DISTRACCIÓN
0.4063,0.3543,0.5172,0.0083,0.6941,0.0126,0.4284,0.0205,0.0043,115.2501,0.0500,0.00,1,DISTRACCIÓN
0.3915,0.2526,0.5303,0.0156,0.6397,0.0483,0.4233,0.1198,0.0002,113.3522,0.1800,0.00,2,FATIGA
0.3534,0.2811,0.5120,0.0149,0.5997,0.0282,0.4108,0.1475,0.0005,116.2105,0.1800,0.00,2,FATIGA
0.3409,0.3030,0.5288,0.0156,0.7016,0.0428,0.4432,0.3059,0.0033,96.9305,0.1800,0.00,2,FATIGA
0.2870,0.2682,0.5595,0.0045,0.6684,0.0048,0.4214,0.0369,0.0017,98.1582,0.1800,0.00,2,FATIGA
0.3305,0.3185,0.5591,0.0053,0.6615,0.0078,0.4266,0.0235,0.0001,93.9718,0.1800,0.00,2,FATIGA
0.3076,0.2732,0.5576,0.0091,0.6690,0.0117,0.4277,0.0456,0.0000,98.1243,0.1800,0.00,2,FATIGA
0.3185,0.2669,0.5587,0.0040,0.6714,0.0071,0.4242,0.0458,0.0001,99.2727,0.1800,0.00,2,FATIGA
0.2825,0.2444,0.5600,0.0095,0.5918,0.0320,0.4216,0.2853,0.0014,96.5930,0.1800,0.00,2,FATIGA
